Time,"Idle","Exceptions","Event Recorder"
2.185351,,,0xf010,
2.185441,,,0xf00b,
2.185752,,,0xf00b,
2.195351,,,0xf010,
2.195441,,,0xf00b,
2.195753,,,0xf00b,
2.205351,,,0xf010,
2.205441,,,0xf00b,
2.205753,,,0xf00b,
2.215351,,,0xf010,
2.215441,,,0xf00b,
2.215752,,,0xf00b,
2.225351,,,0xf010,
2.225441,,,0xf00b,
2.225753,,,0xf00b,
2.235351,,,0xf010,
2.235441,,,0xf00b,
2.235752,,,0xf00b,
2.245351,,,0xf010,
2.245441,,,0xf00b,
2.245753,,,0xf00b,
2.255351,,,0xf010,
2.255441,,,0xf00b,
2.255752,,,0xf00b,
2.265351,,,0xf010,
2.265441,,,0xf00b,
2.265753,,,0xf00b,
2.275351,,,0xf010,
2.275441,,,0xf00b,
2.275752,,,0xf00b,
2.285351,,,0xf010,
2.285441,,,0xf00b,
2.285753,,,0xf00b,
2.295350,,,0xf010,
2.295440,,,0xf00b,
2.295751,,,0xf00b,
2.305350,,,0xf010,
2.305440,,,0xf00b,
2.305751,,,0xf00b,
2.315350,,,0xf010,
2.315440,,,0xf00b,
2.315751,,,0xf00b,
2.325350,,,0xf010,
2.325440,,,0xf00b,
2.325751,,,0xf00b,
2.335350,,,0xf010,
2.335440,,,0xf00b,
2.335751,,,0xf00b,
2.345350,,,0xf010,
2.345440,,,0xf00b,
2.345751,,,0xf00b,
2.355350,,,0xf010,
2.355440,,,0xf00b,
2.355751,,,0xf00b,
2.365350,,,0xf010,
2.365440,,,0xf00b,
2.365751,,,0xf00b,
2.375350,,,0xf010,
2.375440,,,0xf00b,
2.375751,,,0xf00b,
2.385350,,,0xf010,
2.385440,,,0xf00b,
2.385751,,,0xf00b,
2.395350,,,0xf010,
2.395440,,,0xf00b,
2.395751,,,0xf00b,
2.405350,,,0xf010,
2.405440,,,0xf00b,
2.405751,,,0xf00b,
2.415350,,,0xf010,
2.415440,,,0xf00b,
2.415751,,,0xf00b,
2.425350,,,0xf010,
2.425440,,,0xf00b,
2.425751,,,0xf00b,
2.435350,,,0xf010,
2.435440,,,0xf00b,
2.435751,,,0xf00b,
2.445350,,,0xf010,
2.445440,,,0xf00b,
2.445751,,,0xf00b,
2.455350,,,0xf010,
2.455440,,,0xf00b,
2.455751,,,0xf00b,
2.465350,,,0xf010,
2.465440,,,0xf00b,
2.465751,,,0xf00b,
2.475350,,,0xf010,
2.475440,,,0xf00b,
2.475751,,,0xf00b,
2.485350,,,0xf010,
2.485440,,,0xf00b,
2.485751,,,0xf00b,
2.495350,,,0xf010,
2.495440,,,0xf00b,
2.495753,,,0xf00b,
2.505350,,,0xf010,
2.505486,,,0xf010,
2.505576,,,0xf00b,
2.505875,,,0xf00b,
2.506185,,,0xf00b,
2.515350,,,0xf010,
2.515440,,,0xf00b,
2.515751,,,0xf00b,
2.525350,,,0xf010,
2.525440,,,0xf00b,
2.525751,,,0xf00b,
